Number,Rooms,Square,Price,Metro,Address,Url
539,2-к квартира,46.2,5200000,Выборгская ,"Большой Сампсониевский пр-кт, д.72",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_46.2_m_27_et._1195279289
230,1-к квартира,32.4,3113204,Маяковская ,"Россия, Санкт-Петербург, Воронежская улица, 116",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_32.4_m_39_et._1081327879
369,2-к квартира,57.0,3987000,Девяткино ,"проспект Авиаторов Балтики, 11/1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_57_m_812_et._1181817940
409,4-к квартира,164.4,15800000,Ленинский проспект ,"Ленинский проспект, д.90",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_164.4_m_414_et._1156063131
360,1-к квартира,42.0,4200000,Академическая ,"ул Карпинского, 33к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_42_m_516_et._1114914387
645,Студия,34.5,4210000,Василеостровская ,"ул. Уральская, д. 4, лит. А",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_34.5_m_810_et._1053109474
208,1-к квартира,35.3,3223081,Площадь Восстания ,"Россия, Санкт-Петербург, Курская улица, 13",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35.3_m_410_et._1198153432
76,1-к квартира,39.0,3350000,Автово ,"Ленинский пр-кт, 64к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_39_m_1719_et._1036283987
263,3-к квартира,73.0,4800000,Купчино ,"Пушкинский район, Школьная ул, д.",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_73_m_1823_et._1154422967
768,3-к квартира,94.0,13900000,Ленинский проспект ,Адмирала Коновалова 2-4,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_94_m_45_et._973132426
322,Студия,25.0,1750000,Девяткино ,"ул. Шувалова, Дом 6",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25_m_1119_et._1069101884
557,3-к квартира,57.0,4500000,Купчино ,"Школьная ул. , д. 8",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_57_m_25_et._1030179864
343,3-к квартира,60.3,5000000,Озерки ,"проспект Художников, д.27 к.3",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_60.3_m_29_et._1223018339
423,2-к квартира,56.2,5999000,Звездная ,"г. Пушкин, ул Церковная, 46",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_56.2_m_15_et._982790467
23,2-к квартира,47.0,3900000,Ладожская ,"Заневский пр-кт, 63",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_47_m_55_et._900346911
521,1-к квартира,32.3,3750000,Площадь Мужества ,Кушелевская дорога  д.7 к.3,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_32.3_m_525_et._1065711069
361,1-к квартира,42.6,2520000,Звездная ,ул. Среднерогатская д.13,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_42.6_m_717_et._1076482936
711,1-к квартира,48.0,4000000,Ленинский проспект ,"Ленинский пр-кт, 74к3",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_48_m_1222_et._1055186188
601,1-к квартира,37.8,4820000,Спортивная ,уральская,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_37.8_m_410_et._1041306453
733,3-к квартира,81.0,6600000,Балтийская ,Фонтанка 126,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_81_m_66_et._761951721
625,2-к квартира,98.4,11500000,Приморская ,"Морская набережная, д. 37,к.1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_98.4_m_116_et._1092317365
